ID,1-1,Credits_1-1,1-2,Credits_1-2,2-1,Credits_2-1,Total Credits,CGPA,Supplementary Appearances
24031A0527,0.0,16.5,,,,,16.5,0.0,
24031A0528,7.64,19.5,8.05,20.5,7.68,20.0,60.0,7.79,*
24031A0529,0.0,0.5,,,,,0.5,0.0,
24031A0530,0.0,0.5,,,,,0.5,0.0,
24031A0531,7.85,19.5,8.71,20.5,7.52,20.0,60.0,8.03,
24031A0534,7.79,19.5,0.0,17.5,0.0,17.0,54.0,0.0,*
24031A0535,8.0,19.5,8.68,20.5,8.78,20.0,60.0,8.49,
24031A0536,8.0,19.5,7.88,20.5,7.82,20.0,60.0,7.9,
24031A0537,7.28,19.5,8.07,20.5,7.72,20.0,60.0,7.7,
24031A0538,0.0,13.5,0.0,14.5,0.0,11.0,39.0,0.0,*
24031A0539,8.05,19.5,8.78,20.5,8.25,20.0,60.0,8.37,
24031A0540,8.05,19.5,8.63,20.5,8.35,20.0,60.0,8.35,
24031A0541,7.77,19.5,8.46,20.5,8.25,20.0,60.0,8.17,
24031A0542,7.77,19.5,8.0,20.5,7.82,20.0,60.0,7.87,*
24031A0543,0.0,10.5,0.0,5.5,0.0,14.0,30.0,0.0,*
24031A0544,8.36,19.5,8.76,20.5,8.65,20.0,60.0,8.59,
24031A0545,7.13,19.5,7.27,20.5,7.0,20.0,60.0,7.13,*
24031A0546,8.0,19.5,7.9,20.5,7.8,20.0,60.0,7.9,*
24031A0547,8.56,19.5,9.61,20.5,9.25,20.0,60.0,9.15,
24031A0548,6.77,19.5,0.0,14.5,6.75,20.0,54.0,0.0,*
24031A0549,9.05,19.5,9.1,20.5,8.2,20.0,60.0,8.78,
24031A0550,8.38,19.5,9.0,20.5,8.5,20.0,60.0,8.63,
24031A0551,6.97,19.5,8.0,20.5,7.5,20.0,60.0,7.5,
24031A0552,7.95,19.5,7.41,20.5,7.65,20.0,60.0,7.67,
24031A0553,7.23,19.5,8.2,20.5,7.2,20.0,60.0,7.55,
24031A0554,7.95,19.5,7.17,20.5,0.0,17.0,57.0,0.0,
25035A0101,,,,,9.4,20.0,20.0,9.4,
25035A0102,,,,,8.2,20.0,20.0,8.2,
25035A0103,,,,,7.75,20.0,20.0,7.75,
25035A0104,,,,,7.08,20.0,20.0,7.08,
25035A0105,,,,,8.65,20.0,20.0,8.65,
25035A0106,,,,,7.75,20.0,20.0,7.75,
25035A0107,,,,,8.02,20.0,20.0,8.02,
25035A0108,,,,,6.68,20.0,20.0,6.68,
25035A0109,,,,,7.42,20.0,20.0,7.42,
25035A0110,,,,,7.72,20.0,20.0,7.72,
25035A0111,,,,,6.9,20.0,20.0,6.9,
25035A0112,,,,,6.35,20.0,20.0,6.35,
25035A0113,,,,,8.05,20.0,20.0,8.05,
25035A0114,,,,,7.8,20.0,20.0,7.8,
25035A0115,,,,,7.68,20.0,20.0,7.68,
25035A0116,,,,,7.28,20.0,20.0,7.28,
25035A0117,,,,,7.95,20.0,20.0,7.95,
25035A0118,,,,,0.0,14.0,14.0,0.0,
25035A0119,,,,,7.1,20.0,20.0,7.1,
25035A0120,,,,,8.1,20.0,20.0,8.1,
25035A0121,,,,,7.28,20.0,20.0,7.28,
25035A0122,,,,,7.05,20.0,20.0,7.05,
25035A0123,,,,,0.0,17.0,17.0,0.0,
25035A0124,,,,,0.0,17.0,17.0,0.0,
25035A0125,,,,,6.9,20.0,20.0,6.9,
25035A0126,,,,,7.08,20.0,20.0,7.08,
25035A0127,,,,,6.75,20.0,20.0,6.75,
25035A0128,,,,,7.38,20.0,20.0,7.38,
25035A0129,,,,,7.45,20.0,20.0,7.45,
25035A0130,,,,,8.65,20.0,20.0,8.65,
